Country,CCode,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,AUS,20.72532703,20.41388479,21.6711378,21.29631015,21.39641963,21.59780564,21.69533522,20.94711419,21.84197454,22.0278239,20.63771691,18.24580429,20.2901822,22.42594293
Austria,AUT,48.06090044,51.48302149,51.51529895,51.09555303,50.64058289,49.72156947,48.91009251,51.23003708,52.6757305,52.31147751,48.28512414,55.07890903,62.42077807,57.34935279
Belgium,BEL,74.33427375,80.49415254,80.33432929,78.66220934,79.17509037,77.19094283,79.4395649,83.45967319,84.79463616,82.49805139,77.75325072,87.76069951,96.72848738,84.76361541
Canada,CAN,31.04073957,31.82034685,32.24252342,31.89913623,32.64208628,34.3149411,33.86111211,33.6466507,34.27448212,33.81878946,31.68312373,31.20781146,33.71384881,33.82318975
Chile,CHL,31.81368582,34.79186253,34.31055239,33.05582436,32.63072515,30.15803099,28.13470298,27.69478213,29.64800589,29.73708681,26.85247332,32.86486375,39.47267314,29.83035747
Colombia,COL,17.92375841,20.19391848,20.02394574,19.90020908,20.85271653,22.71055261,21.48551371,20.13762519,20.63503312,21.69049533,20.53329541,23.86214044,27.84157748,22.65650339
Costa Rica,CRI,34.68267834,36.16667563,35.39722196,33.47476123,33.82832677,30.75790407,30.91838188,32.3092706,33.20683124,31.43520846,28.23338859,34.60528528,39.82233642,33.55636705
Czechia,CZE,61.8648821,66.50021793,70.37538492,69.92183518,75.06408761,74.00583385,70.43867166,70.06640223,69.5319364,66.02975886,61.01945707,66.82807116,71.60206597,63.97875608
Denmark,DNK,43.7969477,47.92930323,49.2814379,48.69190401,48.37745547,49.31604088,47.70883091,48.86972536,51.83061712,52.94086715,49.39653535,52.5886199,60.99468131,59.8089241
Estonia,EST,68.62582136,80.47645491,83.7579774,81.14752152,77.36420961,72.47269689,72.26937055,70.33009256,70.58472971,68.33299364,69.23808788,80.84848984,87.90015752,77.00154162
Finland,FIN,37.04815915,39.74855177,40.49546357,39.23497644,37.82176775,36.18025424,36.38887988,37.77246713,39.99439426,39.94583218,35.97025217,39.86750494,48.03625378,42.51829358
France,FRA,28.76106716,31.06678815,31.30327842,31.22794853,31.45745404,31.81119247,31.84454637,33.08401411,33.88427889,33.53941778,30.2816679,32.5004327,39.28647472,36.27952421
Germany,DEU,34.37937203,36.77732449,36.63167142,35.89572696,35.14644057,35.18691362,34.36076981,35.24065552,36.62026796,36.74744263,33.82407338,37.4990344,43.28360965,39.39675789
Greece,GRC,29.19368433,30.98539349,33.42846501,32.6275372,33.91856925,33.08542359,32.47827657,36.10328621,40.60718745,41.0298091,38.84335694,47.75225094,58.65932312,48.44803119
Hungary,HUN,76.35760956,80.35548631,79.76926699,78.93528785,81.27112978,79.7939941,77.99918943,79.30895155,79.50519641,79.22160267,76.74758529,79.74713584,94.85574347,76.09204416
Iceland,ISL,41.90016434,46.86316549,49.15942075,45.54177209,45.14649394,44.16648646,40.84898734,41.24670697,42.59014458,39.14949734,34.66543058,39.00063891,45.83334589,43.15097861
Ireland,IRL,86.65441733,83.76834409,86.40108355,85.0490549,91.33158831,93.28101592,105.5672528,101.1386034,93.45804488,122.4742228,114.6455756,91.36377225,95.44505044,102.157667
Italy,ITA,26.74346039,27.90922829,26.89930819,25.85674223,25.8321272,26.29157476,25.63339781,27.44310811,28.46147624,27.74431634,25.21362872,29.13036876,36.93617537,32.51037335
Japan,JPN,13.57996924,15.42049847,16.0561363,18.19461192,20.01277922,17.99064852,15.25227761,16.83177447,18.2949862,17.75289168,15.79727763,18.64600665,25.30200902,23.35210391
Latvia,LVA,56.49689836,67.93301446,69.37998873,67.10120466,66.47015062,63.78445185,61.40209878,64.57404906,64.36427687,62.75478869,61.22395578,69.98204136,82.3572549,70.7100698
Lithuania,LTU,66.82799395,76.17608997,78.01285729,77.58469935,70.67990339,69.59119423,66.98102476,71.31205249,72.67261339,71.55627302,63.36188006,75.17678916,88.87176286,72.56905091
Luxembourg,LUX,130.9620198,139.2253304,140.5750471,144.1501754,150.6462608,159.2965253,157.3387756,161.0464884,164.922567,175.9367194,169.1511397,179.9185195,177.2354629,181.6900754
Mexico,MEX,30.25592441,31.71942105,32.7184815,31.93587419,32.63541684,36.25020199,38.87462616,39.43803742,41.16873121,38.93232147,37.61918362,42.50010443,45.65495559,37.17604483
Netherlands,NLD,60.79434296,66.58191225,69.81763269,70.28067798,70.33362952,76.33396503,70.05602805,74.46651244,76.50268712,75.35573239,70.99170446,76.70483989,87.66386267,77.3683752
New Zealand,NZL,27.97798782,28.84476365,28.16307576,27.2030997,27.16863275,26.93571185,25.82244055,26.60289484,27.91526359,27.11413758,22.25359155,26.21234684,29.69209342,26.94940473
Norway,NOR,28.08919029,27.93746746,27.21148798,28.11148306,29.40970518,31.85666781,33.17867097,32.37651677,31.7821685,34.25489521,33.14364126,28.18641186,27.14511956,32.46745343
Poland,POL,42.33364548,44.60549831,44.80700167,44.65021908,45.81334768,45.09379055,46.95947394,48.87336767,50.20988672,48.96814034,46.82520571,53.83630695,60.66881661,52.35317982
Portugal,PRT,37.66165507,38.59606258,38.217601,38.46655535,40.03557849,39.94700922,39.16725756,41.86511366,43.05811492,43.11786297,39.25262559,44.32511803,51.88246511,46.42372239
Slovak Republic,SVK,78.0274156,84.54502419,86.06009551,88.02411425,86.31630711,88.73217328,90.44569259,92.69227053,93.80613205,91.87852212,83.23582987,91.15650163,104.8987103,90.36593294
Slovenia,SVN,63.7657473,69.54940966,70.11110054,70.20984307,69.81925728,69.55419757,69.80186141,74.82015568,77.04485692,75.68721734,69.27720859,78.1053851,92.23693466,76.84739149
Korea,KOR,44.29585958,52.22858168,51.3642764,46.66003384,42.78302103,36.14293286,33.47115855,36.18671087,37.27557467,36.4812779,32.67445454,38.32222742,48.26464507,43.94400932
Spain,ESP,26.86555663,29.12341278,29.25429841,28.91331563,30.17992221,30.28335627,29.61164487,31.26705093,32.13459641,31.69066211,28.96510316,32.76750462,38.87243208,34.13247068
Sweden,SWE,40.21479751,40.97696659,40.46487164,38.9043189,40.3646558,40.44865652,40.35335333,42.02701473,44.23875079,44.27986966,40.07083879,42.97834022,51.97473714,51.19442844
Switzerland,CHE,55.22749526,59.10634951,58.67648741,61.62549479,54.87615325,53.30952646,56.74819859,57.27331731,56.95031822,57.1622185,57.69042084,58.96860665,63.23393339,62.89004979
Turkey,TUR,25.50033191,30.31047438,28.46992714,28.73428929,28.56075947,26.55726626,25.2446771,29.72274641,31.38152231,30.11907684,32.22296559,35.33874785,42.58592751,34.36076902
United Kingdom,GBR,30.4160323,32.17780692,31.6074143,31.70968714,30.51858939,29.35759902,30.79805889,32.231299,32.96253689,33.03035336,29.11134184,29.40426184,35.31333567,32.21620064
United States,USA,15.87852751,17.27901479,17.03778831,16.3878144,16.39835512,15.2770653,14.56443856,14.9478572,15.15824837,14.46928321,13.00612224,14.42267783,15.28946191,13.88785186
