Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,9.42,-4.26,-2.54,4.29,7.25,7.64,4.85,7.02,-3.06,-5.75,4.09,15.0,1.37,-4.35
Austria,6.85,2.24,4.25,2.95,1.91,4.23,5.3,3.19,3.78,4.21,6.5,9.2,3.73,-10.33
Belgium,0.48,0.89,0.09,0.47,-1.13,1.02,0.83,1.48,0.94,2.24,3.34,3.94,-4.22,-3.51
Canada,7.53,3.23,3.42,1.46,3.3,4.31,9.08,10.41,2.03,-0.16,5.71,11.44,5.43,-5.59
Chile,4.42,8.73,7.67,7.33,6.66,7.06,2.87,5.55,8.1,6.46,1.28,7.06,-3.51,0.77
Colombia,5.05,2.22,6.36,7.13,4.82,2.36,2.83,2.94,1.98,1.41,0.27,-0.93,-5.15,-0.22
Costa Rica,6.93,4.27,5.24,4.99,3.04,3.34,2.53,2.55,1.55,1.15,0.67,1.64,-0.76,8.18
Czechia,-4.02,-1.18,-3.26,-0.59,1.3,3.39,6.03,8.49,5.54,6.06,5.27,14.87,2.31,-9.04
Denmark,0.39,-3.91,-4.88,3.1,3.13,6.82,4.47,3.95,3.9,1.41,4.13,9.3,-2.16,-6.56
Estonia,1.48,3.08,2.92,7.37,12.98,6.68,2.91,0.97,2.29,3.85,7.39,10.98,3.87,-3.01
Finland,4.84,-0.13,-0.4,-1.22,-1.62,-0.46,1.13,0.06,-0.35,-0.55,1.38,2.33,-4.91,-9.64
France,3.93,4.06,-1.84,-2.68,-1.94,-2.13,0.71,2.23,1.1,2.48,4.62,5.24,1.41,-7.12
Germany,-0.61,1.47,1.86,1.53,2.02,4.17,6.75,4.37,4.87,4.28,7.16,8.44,-1.51,-14.28
Greece,-8.07,-8.16,-12.54,-9.36,-5.21,-3.8,-1.54,-1.3,1.73,7.15,5.74,6.57,5.72,8.82
Hungary,-5.81,-6.5,-8.53,-3.95,3.02,12.54,12.31,8.66,10.47,11.98,2.04,10.01,6.65,-6.42
Iceland,-6.75,0.94,1.01,1.98,5.76,7.44,8.69,20.66,5.02,0.07,2.86,8.59,13.19,-1.19
Ireland,-12.43,-17.97,-14.68,-0.28,14.97,10.39,6.63,9.68,8.64,0.62,0.4,5.29,4.45,-5.06
Italy,-2.0,-1.5,-5.11,-7.51,-4.96,-3.94,-0.27,-2.39,-1.86,-0.99,1.63,1.07,-2.74,-3.6
Japan,2.97,0.55,-0.27,1.8,-0.46,1.84,2.56,2.15,1.23,1.13,-0.24,5.35,5.34,0.0
Latvia,-8.84,6.01,0.69,6.6,5.17,-3.47,7.73,5.77,6.72,5.44,3.26,8.03,0.15,-4.94
Lithuania,-8.78,2.17,-3.51,0.27,6.43,4.73,4.23,4.94,4.62,4.57,6.0,10.91,0.46,0.74
Luxembourg,3.32,0.71,2.01,3.39,3.64,4.49,5.22,3.34,5.14,8.6,13.38,12.18,3.86,-13.09
Mexico,-3.68,2.22,-1.59,2.76,-0.69,7.25,1.64,2.04,4.25,5.85,0.92,2.27,-0.09,8.24
Netherlands,-3.25,-4.62,-7.7,-7.8,-0.06,3.44,4.55,6.01,7.08,4.8,5.84,9.7,5.45,-8.33
New Zealand,0.69,-2.12,3.67,8.11,5.56,11.54,13.44,4.85,2.26,1.53,8.41,22.75,-5.24,-11.46
Norway,6.02,6.82,5.68,1.95,0.45,3.68,3.83,2.96,-0.9,0.18,2.65,7.41,-0.5,-7.01
Poland,-6.09,-4.28,-6.35,-4.79,1.3,1.97,2.56,1.94,5.0,6.29,6.86,3.43,-1.93,-0.48
Portugal,-1.08,-6.55,-8.82,-2.74,3.99,2.27,5.98,7.51,8.5,8.97,8.31,7.23,5.0,3.63
Slovak Republic,-4.64,-5.11,-5.98,-0.49,1.47,5.43,7.0,4.75,5.44,6.66,7.24,3.11,1.73,-9.5
Slovenia,-1.92,0.5,-8.73,-6.54,-6.54,1.63,3.74,6.62,6.58,5.23,4.93,8.04,4.42,-0.31
South Korea,-0.29,1.12,-1.04,-2.2,0.31,1.83,0.29,-0.74,-0.03,-1.0,2.39,6.1,-2.2,-10.04
Spain,-3.64,-9.74,-16.47,-10.0,0.18,3.66,4.42,4.61,5.25,4.07,2.18,1.44,0.85,-1.3
Sweden,6.55,1.16,0.78,4.57,8.5,11.94,7.29,4.82,-3.35,0.42,3.29,7.75,-2.85,-11.15
Switzerland,2.42,6.82,5.75,3.42,2.97,4.05,1.82,1.1,1.77,3.94,4.78,6.68,4.79,-0.21
Turkey,13.1,-0.56,1.99,5.46,4.42,6.99,5.99,-0.42,-5.49,-8.42,9.12,14.11,36.57,26.63
United Kingdom,4.74,-5.17,-1.23,0.31,6.71,6.37,5.66,2.66,1.12,-0.51,2.37,5.59,1.02,-6.08
United States,-4.67,-6.67,0.82,5.5,3.38,4.94,4.51,4.29,3.96,3.53,6.66,11.93,6.58,1.05
